통계년월,통계시도명,통계시군구명,성별,수급자구분,연령구간,수급자수
202006,서울특별시,용산구,남성,시설수급자,80~89세,1
202006,서울특별시,용산구,여성,시설수급자,7세미만,31
202006,서울특별시,용산구,여성,시설수급자,7~12세,23
202006,서울특별시,용산구,여성,시설수급자,13~15세,8
202006,서울특별시,용산구,여성,시설수급자,16~18세,12
202006,서울특별시,용산구,여성,시설수급자,19~29세,16
202006,서울특별시,용산구,여성,시설수급자,30~39세,30
202006,서울특별시,용산구,여성,시설수급자,40~49세,8
202006,서울특별시,용산구,여성,시설수급자,50~59세,3
202006,서울특별시,용산구,여성,시설수급자,60~64세,1
202006,서울특별시,용산구,남성,일반수급자,50~59세,679
202006,서울특별시,용산구,여성,시설수급자,65~69세,1
202006,서울특별시,용산구,여성,시설수급자,70~74세,1
202006,서울특별시,용산구,여성,시설수급자,80~89세,9
202006,서울특별시,용산구,여성,시설수급자,90세이상,6
202006,서울특별시,용산구,남성,특례수급자,7세미만,1
202006,서울특별시,용산구,남성,특례수급자,13~15세,1
202006,서울특별시,용산구,남성,특례수급자,16~18세,5
202006,서울특별시,용산구,남성,특례수급자,19~29세,7
202006,서울특별시,용산구,남성,특례수급자,30~39세,7
202006,서울특별시,용산구,남성,특례수급자,40~49세,24
202006,서울특별시,용산구,남성,특례수급자,50~59세,38
202006,서울특별시,용산구,남성,일반수급자,60~64세,408
202006,서울특별시,용산구,남성,특례수급자,60~64세,31
202006,서울특별시,용산구,남성,특례수급자,65~69세,13
202006,서울특별시,용산구,남성,특례수급자,70~74세,9
202006,서울특별시,용산구,남성,특례수급자,75~79세,16
202006,서울특별시,용산구,남성,특례수급자,80~89세,14
202006,서울특별시,용산구,남성,특례수급자,90세이상,1
202006,서울특별시,용산구,여성,특례수급자,7~12세,3
202006,서울특별시,용산구,여성,특례수급자,16~18세,3
202006,서울특별시,용산구,여성,특례수급자,19~29세,4
202006,서울특별시,용산구,여성,특례수급자,30~39세,3
202006,서울특별시,용산구,여성,특례수급자,40~49세,11
202006,서울특별시,용산구,여성,특례수급자,50~59세,20
202006,서울특별시,용산구,여성,특례수급자,60~64세,6
202006,서울특별시,용산구,여성,특례수급자,65~69세,11
202006,서울특별시,용산구,여성,특례수급자,70~74세,22
202006,서울특별시,용산구,여성,특례수급자,75~79세,20
202006,서울특별시,용산구,여성,특례수급자,80~89세,33
202006,서울특별시,용산구,여성,특례수급자,90세이상,4
202006,서울특별시,용산구,여성,기타수급자,60~64세,1
202006,서울특별시,용산구,남성,일반수급자,65~69세,435
202006,서울특별시,용산구,남성,일반수급자,7~12세,129
202006,서울특별시,용산구,남성,일반수급자,70~74세,331
202006,서울특별시,용산구,남성,일반수급자,75~79세,224
202006,서울특별시,용산구,남성,일반수급자,80~89세,172
202006,서울특별시,용산구,남성,일반수급자,90세이상,14
202006,서울특별시,용산구,여성,일반수급자,7세미만,40
202006,서울특별시,용산구,여성,일반수급자,7~12세,110
202006,서울특별시,용산구,여성,일반수급자,13~15세,78
202006,서울특별시,용산구,여성,일반수급자,16~18세,94
202006,서울특별시,용산구,남성,일반수급자,7세미만,39
202006,서울특별시,용산구,여성,일반수급자,19~29세,144
202006,서울특별시,용산구,여성,일반수급자,30~39세,110
202006,서울특별시,용산구,남성,일반수급자,13~15세,99
202006,서울특별시,용산구,여성,일반수급자,40~49세,260
202006,서울특별시,용산구,여성,일반수급자,50~59세,344
202006,서울특별시,용산구,여성,일반수급자,60~64세,183
202006,서울특별시,용산구,여성,일반수급자,65~69세,298
202006,서울특별시,용산구,여성,일반수급자,70~74세,314
202006,서울특별시,용산구,여성,일반수급자,75~79세,358
202006,서울특별시,용산구,여성,일반수급자,80~89세,461
202006,서울특별시,용산구,여성,일반수급자,90세이상,88
202006,서울특별시,용산구,남성,조건부수급자,7세미만,7
202006,서울특별시,용산구,남성,조건부수급자,7~12세,17
202006,서울특별시,용산구,남성,조건부수급자,13~15세,12
202006,서울특별시,용산구,남성,조건부수급자,16~18세,20
202006,서울특별시,용산구,남성,조건부수급자,19~29세,64
202006,서울특별시,용산구,남성,조건부수급자,30~39세,28
202006,서울특별시,용산구,남성,조건부수급자,40~49세,81
202006,서울특별시,용산구,남성,일반수급자,16~18세,115
202006,서울특별시,용산구,남성,조건부수급자,50~59세,188
202006,서울특별시,용산구,남성,조건부수급자,60~64세,106
202006,서울특별시,용산구,남성,조건부수급자,65~69세,8
202006,서울특별시,용산구,남성,조건부수급자,70~74세,2
202006,서울특별시,용산구,남성,조건부수급자,75~79세,3
202006,서울특별시,용산구,남성,조건부수급자,80~89세,5
202006,서울특별시,용산구,여성,조건부수급자,7세미만,7
202006,서울특별시,용산구,여성,조건부수급자,7~12세,14
202006,서울특별시,용산구,여성,조건부수급자,13~15세,13
202006,서울특별시,용산구,여성,조건부수급자,16~18세,20
202006,서울특별시,성동구,여성,조건부수급자,19~29세,171
202006,서울특별시,성동구,여성,조건부수급자,30~39세,48
202006,서울특별시,성동구,여성,조건부수급자,40~49세,155
202006,서울특별시,성동구,여성,조건부수급자,50~59세,226
202006,서울특별시,성동구,여성,조건부수급자,60~64세,98
202006,서울특별시,성동구,여성,조건부수급자,65~69세,23
202006,서울특별시,성동구,여성,조건부수급자,70~74세,17
202006,서울특별시,성동구,여성,조건부수급자,75~79세,11
202006,서울특별시,성동구,여성,조건부수급자,80~89세,16
202006,서울특별시,성동구,여성,조건부수급자,90세이상,2
202006,서울특별시,성동구,남성,시설수급자,7세미만,15
202006,서울특별시,성동구,남성,시설수급자,7~12세,13
202006,서울특별시,성동구,남성,시설수급자,13~15세,7
202006,서울특별시,성동구,남성,일반수급자,30~39세,126
202006,서울특별시,성동구,남성,시설수급자,16~18세,9
202006,서울특별시,성동구,남성,시설수급자,40~49세,1
202006,서울특별시,성동구,남성,시설수급자,50~59세,3
202006,서울특별시,성동구,남성,시설수급자,60~64세,5
202006,서울특별시,성동구,남성,시설수급자,65~69세,3
202006,서울특별시,성동구,남성,시설수급자,75~79세,2
202006,서울특별시,성동구,남성,시설수급자,80~89세,2
202006,서울특별시,성동구,여성,시설수급자,7세미만,10
202006,서울특별시,성동구,여성,시설수급자,7~12세,4
202006,서울특별시,성동구,여성,시설수급자,13~15세,2
202006,서울특별시,성동구,여성,시설수급자,16~18세,2
202006,서울특별시,성동구,여성,시설수급자,19~29세,1
202006,서울특별시,성동구,남성,일반수급자,40~49세,272
202006,서울특별시,성동구,여성,시설수급자,50~59세,2
202006,서울특별시,성동구,여성,시설수급자,70~74세,2
202006,서울특별시,성동구,여성,시설수급자,75~79세,2
202006,서울특별시,성동구,여성,시설수급자,80~89세,25
202006,서울특별시,성동구,여성,시설수급자,90세이상,13
202006,서울특별시,성동구,남성,특례수급자,7~12세,1
202006,서울특별시,성동구,남성,일반수급자,50~59세,676
202006,서울특별시,성동구,남성,특례수급자,13~15세,1
202006,서울특별시,성동구,남성,특례수급자,16~18세,2
202006,서울특별시,성동구,남성,특례수급자,19~29세,3
202006,서울특별시,성동구,남성,특례수급자,30~39세,5
202006,서울특별시,성동구,남성,특례수급자,40~49세,11
202006,서울특별시,성동구,남성,특례수급자,50~59세,38
202006,서울특별시,성동구,남성,특례수급자,60~64세,20
202006,서울특별시,성동구,남성,특례수급자,65~69세,8
202006,서울특별시,성동구,남성,특례수급자,70~74세,10
