년월,자치구명,에너지바우처점수,최소에너지점수,연료비비율점수,점수합계,percent
201708,동대문구,3,8,1,12,40.0
201708,동작구,2,8,1,11,36.666666666666664
201708,마포구,2,7,2,11,36.666666666666664
201708,서대문구,2,7,1,10,33.33333333333333
201708,서초구,1,8,1,10,33.33333333333333
201708,성동구,1,8,1,10,33.33333333333333
201708,성북구,3,8,1,12,40.0
201708,송파구,2,8,3,13,43.333333333333336
201708,양천구,2,8,3,13,43.333333333333336
201708,영등포구,2,8,3,13,43.333333333333336
201708,용산구,1,8,3,12,40.0
201708,은평구,5,8,3,16,53.333333333333336
201708,종로구,1,8,3,12,40.0
201708,중구,1,8,3,12,40.0
201708,중랑구,4,7,5,16,53.333333333333336
201709,강남구,3,8,3,14,46.666666666666664
201709,강동구,2,8,3,13,43.333333333333336
201709,강북구,4,8,3,15,50.0
201709,강서구,6,8,3,17,56.666666666666664
201709,관악구,4,8,1,13,43.333333333333336
201709,광진구,1,8,1,10,33.33333333333333
201709,구로구,2,8,1,11,36.666666666666664
201709,금천구,2,8,1,11,36.666666666666664
201709,노원구,8,8,1,17,56.666666666666664
201709,도봉구,2,8,1,11,36.666666666666664
201709,동대문구,3,8,1,12,40.0
201709,동작구,2,5,2,9,30.0
201709,마포구,2,7,1,10,33.33333333333333
201709,서대문구,2,8,1,11,36.666666666666664
201709,서초구,1,8,1,10,33.33333333333333
201709,성동구,1,8,1,10,33.33333333333333
201709,성북구,3,8,3,14,46.666666666666664
201709,송파구,2,8,3,13,43.333333333333336
201709,양천구,2,8,3,13,43.333333333333336
201709,영등포구,2,8,3,13,43.333333333333336
201709,용산구,1,8,3,12,40.0
201709,은평구,5,8,3,16,53.333333333333336
201709,종로구,1,8,4,13,43.333333333333336
201709,중구,1,7,5,13,43.333333333333336
201709,중랑구,4,7,3,14,46.666666666666664
201710,강남구,3,8,3,14,46.666666666666664
201710,강동구,2,8,3,13,43.333333333333336
201710,강북구,4,8,3,15,50.0
201710,강서구,6,8,1,15,50.0
201710,관악구,4,8,1,13,43.333333333333336
201710,광진구,1,8,1,10,33.33333333333333
201710,구로구,2,8,1,11,36.666666666666664
201710,금천구,2,8,1,11,36.666666666666664
201710,노원구,8,8,1,17,56.666666666666664
201710,도봉구,2,8,1,11,36.666666666666664
201710,동대문구,3,7,1,11,36.666666666666664
201710,동작구,2,7,1,10,33.33333333333333
201710,마포구,2,8,1,11,36.666666666666664
201710,서대문구,2,8,1,11,36.666666666666664
201710,서초구,1,8,1,10,33.33333333333333
201710,성동구,1,8,1,10,33.33333333333333
201710,성북구,3,8,1,12,40.0
201710,송파구,2,8,1,11,36.666666666666664
201710,양천구,2,8,1,11,36.666666666666664
201710,영등포구,2,8,1,11,36.666666666666664
201710,용산구,1,8,1,10,33.33333333333333
201710,은평구,5,8,1,14,46.666666666666664
201710,종로구,1,7,1,9,30.0
201710,중구,1,8,1,10,33.33333333333333
201710,중랑구,4,8,1,13,43.333333333333336
201711,강남구,3,8,1,12,40.0
201711,강동구,2,8,1,11,36.666666666666664
201711,강북구,4,8,5,17,56.666666666666664
201711,강서구,6,8,5,19,63.33333333333333
201711,관악구,4,8,4,16,53.333333333333336
201711,광진구,1,8,5,14,46.666666666666664
201711,구로구,2,8,4,14,46.666666666666664
201711,금천구,2,8,4,14,46.666666666666664
201711,노원구,8,8,5,21,70.0
201711,도봉구,2,6,7,15,50.0
201711,동대문구,3,7,5,15,50.0
201711,동작구,2,8,4,14,46.666666666666664
201711,마포구,2,8,4,14,46.666666666666664
201711,서대문구,2,8,5,15,50.0
201711,서초구,1,8,1,10,33.33333333333333
201711,성동구,1,8,1,10,33.33333333333333
201711,성북구,3,8,1,12,40.0
201711,송파구,2,8,1,11,36.666666666666664
201711,양천구,2,8,1,11,36.666666666666664
201711,영등포구,2,8,1,11,36.666666666666664
201711,용산구,1,8,1,10,33.33333333333333
201711,은평구,5,6,1,12,40.0
201711,종로구,1,7,1,9,30.0
201711,중구,1,8,1,10,33.33333333333333
201711,중랑구,4,8,1,13,43.333333333333336
201712,강남구,3,8,1,12,40.0
201712,강동구,2,7,1,10,33.33333333333333
201712,강북구,4,7,1,12,40.0
201712,강서구,6,8,1,15,50.0
201712,관악구,4,8,1,13,43.333333333333336
201712,광진구,1,8,1,10,33.33333333333333
201712,구로구,2,8,1,11,36.666666666666664
201712,금천구,2,7,1,10,33.33333333333333
201712,노원구,8,6,1,15,50.0
201712,도봉구,2,7,1,10,33.33333333333333
201712,동대문구,3,8,1,12,40.0
201712,동작구,2,8,1,11,36.666666666666664
201712,마포구,2,8,1,11,36.666666666666664
201712,서대문구,2,7,4,13,43.333333333333336
201712,서초구,1,7,4,12,40.0
201712,성동구,1,8,4,13,43.333333333333336
201712,성북구,3,8,4,15,50.0
201712,송파구,2,8,3,13,43.333333333333336
201712,양천구,2,8,3,13,43.333333333333336
201712,영등포구,2,7,4,13,43.333333333333336
201712,용산구,1,6,6,13,43.333333333333336
201712,은평구,5,7,4,16,53.333333333333336
201712,종로구,1,8,3,12,40.0
201712,중구,1,8,4,13,43.333333333333336
201712,중랑구,4,7,4,15,50.0
201801,강남구,3,7,1,11,36.666666666666664
201801,강동구,2,7,1,10,33.33333333333333
201801,강북구,4,8,1,13,43.333333333333336
201801,강서구,6,8,1,15,50.0
201801,관악구,4,8,1,13,43.333333333333336
201801,광진구,1,8,1,10,33.33333333333333
201801,구로구,2,7,1,10,33.33333333333333
201801,금천구,2,5,1,8,26.666666666666668
201801,노원구,8,7,1,16,53.333333333333336
201801,도봉구,2,8,1,11,36.666666666666664
201801,동대문구,3,8,1,12,40.0
201801,동작구,2,7,1,10,33.33333333333333
201801,마포구,2,7,2,11,36.666666666666664
201801,서대문구,2,7,2,11,36.666666666666664
201801,서초구,1,8,2,11,36.666666666666664
201801,성동구,1,8,2,11,36.666666666666664
201801,성북구,3,8,2,13,43.333333333333336
201801,송파구,2,8,2,12,40.0
201801,양천구,2,7,2,11,36.666666666666664
201801,영등포구,2,6,3,11,36.666666666666664
201801,용산구,1,7,2,10,33.33333333333333
201801,은평구,5,8,2,15,50.0
201801,종로구,1,8,2,11,36.666666666666664
201801,중구,1,7,2,10,33.33333333333333
201801,중랑구,4,8,5,17,56.666666666666664
201802,강남구,3,8,5,16,53.333333333333336
201802,강동구,2,9,4,15,50.0
201802,강북구,4,9,4,17,56.666666666666664
