연월,자치구명,65~69세,70~74세,75~79세,7세미만,80~89세,90세이상,합계,점수
201702,종로구,362,433,325,34,311,77,1542,1
201702,중구,379,369,350,96,354,44,1592,1
201702,중랑구,994,1046,964,316,1042,208,4570,4
201703,강남구,892,907,725,353,690,140,3707,3
201703,강동구,651,636,625,260,623,112,2907,2
201703,강북구,1011,1168,1085,327,996,142,4729,4
201703,강서구,1416,1524,1547,391,1628,281,6787,6
201703,관악구,927,957,927,298,881,152,4142,3
201703,광진구,466,464,428,138,451,70,2017,1
201703,구로구,554,675,687,274,632,94,2916,2
201703,금천구,676,752,690,234,666,95,3113,2
201703,노원구,1653,1809,1812,516,1769,314,7873,7
201703,도봉구,589,659,708,244,693,112,3005,2
201703,동대문구,948,1065,938,194,792,105,4042,3
201703,동작구,528,657,622,237,606,104,2754,2
201703,마포구,540,627,563,236,604,91,2661,2
201703,서대문구,469,536,590,545,558,76,2774,2
201703,서초구,310,333,280,182,312,50,1467,1
201703,성동구,498,547,533,129,484,66,2257,1
201703,성북구,836,928,943,350,824,135,4016,3
201703,송파구,608,614,505,204,535,109,2575,2
201703,양천구,633,692,698,234,692,94,3043,2
201703,영등포구,761,675,620,196,590,101,2943,2
201703,용산구,500,503,491,148,420,74,2136,1
201703,은평구,1221,1294,1167,412,1150,172,5416,5
201703,종로구,370,428,337,36,308,79,1558,1
201703,중구,381,373,342,94,359,44,1593,1
201703,중랑구,999,1057,973,312,1043,208,4592,4
201704,강남구,901,909,729,374,694,142,3749,3
201704,강동구,645,633,622,263,633,115,2911,2
201704,강북구,1003,1166,1092,346,1000,150,4757,4
201704,강서구,1431,1524,1570,399,1640,278,6842,6
201704,관악구,927,966,940,315,885,153,4186,3
201704,광진구,474,458,424,154,453,76,2039,1
201704,구로구,544,681,685,277,637,94,2918,2
201704,금천구,673,756,700,253,664,97,3143,2
201704,노원구,1656,1790,1836,518,1772,313,7885,7
201704,도봉구,588,663,713,254,700,117,3035,2
201704,동대문구,951,1057,946,198,796,106,4054,3
201704,동작구,539,646,627,244,610,101,2767,2
201704,마포구,546,623,565,226,613,95,2668,2
201704,서대문구,470,544,601,598,556,77,2846,2
201704,서초구,310,335,280,192,310,53,1480,1
201704,성동구,497,534,540,135,489,65,2260,1
201704,성북구,841,941,935,350,830,140,4037,3
201704,송파구,614,614,508,236,533,109,2614,2
201704,양천구,649,692,690,246,702,95,3074,2
201704,영등포구,751,677,624,213,593,101,2959,2
201704,용산구,502,501,493,153,431,73,2153,1
201704,은평구,1226,1283,1186,444,1156,175,5470,5
201704,종로구,376,424,343,40,313,81,1577,1
201704,중구,380,367,345,102,363,44,1601,1
201704,중랑구,1012,1073,962,361,1044,208,4660,4
201705,강남구,913,914,749,377,695,144,3792,3
201705,강동구,649,634,625,267,633,118,2926,2
201705,강북구,1028,1154,1101,355,1020,154,4812,4
201705,강서구,1453,1532,1573,407,1645,284,6894,6
201705,관악구,940,981,953,326,883,152,4235,4
201705,광진구,475,458,429,165,451,76,2054,1
201705,구로구,557,677,684,290,641,95,2944,2
201705,금천구,676,748,710,256,665,98,3153,2
201705,노원구,1692,1762,1852,536,1772,309,7923,7
201705,도봉구,589,667,713,275,708,117,3069,2
201705,동대문구,957,1028,954,191,791,111,4032,3
201705,동작구,545,636,632,257,602,102,2774,2
201705,마포구,558,629,566,229,614,91,2687,2
201705,서대문구,479,537,600,608,565,76,2865,2
201705,서초구,306,333,280,203,309,58,1489,1
201705,성동구,497,536,533,138,486,67,2257,1
201705,성북구,837,935,948,365,823,145,4053,3
201705,송파구,613,616,514,234,535,113,2625,2
201705,양천구,662,678,695,258,695,98,3086,2
201705,영등포구,746,672,624,215,586,100,2943,2
201705,용산구,513,495,486,160,433,75,2162,1
201705,은평구,1240,1273,1182,443,1153,168,5459,5
201705,종로구,386,423,349,47,317,81,1603,1
201705,중구,381,361,346,100,363,44,1595,1
201705,중랑구,1011,1071,971,373,1050,207,4683,4
