연월,자치구명,7세미만,65~69세,70~74세,75~79세,80~89세,90세이상,합계,점수
201612,구로구,277,562,667,663,612,86,2867,2
201612,금천구,241,666,756,658,653,85,3059,2
201612,노원구,509,"1,637","1,825","1,748","1,732",317,7768,7
201612,도봉구,242,570,658,693,668,108,2939,2
201612,동대문구,200,956,"1,054",927,769,95,4001,3
201612,동작구,242,543,656,608,589,102,2740,2
201612,마포구,262,530,646,538,598,86,2660,2
201612,서대문구,533,479,550,564,537,74,2737,2
201612,서초구,190,284,338,269,304,50,1435,1
201612,성동구,136,499,543,532,461,70,2241,1
201612,성북구,343,845,937,926,820,125,3996,3
201612,송파구,192,622,608,495,531,99,2547,2
201612,양천구,224,646,695,690,659,96,3010,2
201612,영등포구,195,772,686,599,586,93,2931,2
201612,용산구,143,508,513,485,412,72,2133,1
201612,은평구,402,"1,230","1,275","1,148","1,105",162,5322,5
201612,종로구,39,367,416,325,303,79,1529,1
201612,중구,94,388,367,345,343,40,1577,1
201612,중랑구,309,"1,016","1,040",946,"1,042",192,4545,4
201701,강남구,363,899,885,718,682,134,3681,3
201701,강동구,273,648,624,617,607,115,2884,2
201701,강북구,331,993,"1,178","1,056",984,138,4680,4
201701,강서구,386,"1,394","1,500","1,544","1,607",277,6708,6
201701,관악구,309,921,935,917,869,150,4101,3
201701,광진구,134,453,474,408,457,68,1994,1
201701,구로구,269,562,670,677,614,94,2886,2
201701,금천구,232,667,751,663,659,88,3060,2
201701,노원구,507,"1,638","1,821","1,763","1,746",313,7788,7
201701,도봉구,236,571,664,696,673,111,2951,2
201701,동대문구,195,957,"1,054",935,774,98,4013,3
201701,동작구,243,536,654,619,593,100,2745,2
201701,마포구,254,532,639,542,595,92,2654,2
201701,서대문구,529,468,544,573,548,76,2738,2
201701,서초구,186,289,339,275,305,50,1444,1
201701,성동구,131,494,550,529,471,70,2245,1
201701,성북구,338,832,936,924,819,128,3977,3
201701,송파구,193,610,612,503,535,101,2554,2
201701,양천구,221,641,688,694,672,96,3012,2
201701,영등포구,198,766,687,610,585,96,2942,2
201701,용산구,138,511,505,481,417,72,2124,1
201701,은평구,405,"1,219","1,276","1,163","1,121",165,5349,5
